,0,1
167,26035260,93533314
168,26015120,4984245
169,26015100,13016107
170,2601560,36692109
171,2601310,321067365
172,2601340,176068274
173,2601350,210155279
174,2601370,640256402
175,2601330,61379899
176,2601320,29093709
177,26035250,70141798
178,26015230,18565836
179,26015210,90518876
180,26015260,7224780
181,26031140,29611768
182,26031110,88054882
183,2603150,1381550
184,2604350,367448595
185,26043100,4269867
186,26015270,63418142
187,26015320,5688454
188,26031130,112869931
189,2603170,6990645
190,2604370,4250150
191,2604390,6924854
192,26043120,229646962
193,26043130,222285549
194,2604360,10410994
195,26015200,70509704
196,2601580,63692525
197,2603120,61833766
198,26031230,0
199,26043110,22594725
200,26043160,228932070
201,26043150,88225621
202,2604330,90647004
203,2604380,3510979
204,26007160,113396099
205,26007190,0
206,26007100,11165321
207,26007170,137849158
208,26007120,184019252
209,26015360,34154495
210,2601550,52445331
211,26015180,786481
212,26031120,87688844
213,26031150,92457315
214,2604310,224520244
215,2604340,31083970
216,2604320,45616828
217,26043140,102977124
218,26145330,63155101
219,26145730,2407084
220,26145600,1606033
221,26145530,957520
222,26145370,2463419
223,26145430,1658197
224,26145440,2454381
225,26145390,1472863
226,26145140,3179443
227,26145410,1532961
228,26145520,2484429
229,26145360,3229409
230,2614590,13373501
231,26145850,3740131
232,26145700,3054232
233,26145780,30802893
234,26145710,3237966
235,26145560,1863259
236,2605770,56158992
237,26057170,78517823
238,2607910,184110754
239,2614360,183068124
240,26143140,256422404
241,2614310,91887606
242,26055350,92741149
243,26055180,91171244
244,26055340,1049599
245,26149140,92255081
246,26149130,50029137
247,261391000,32753162
248,26139540,1891988
249,26139710,4149433
250,26139530,483263
251,26139420,1412575
252,2613990,92272033
253,26139300,1165745
254,26145160,1862420
255,26145120,20709868
256,26145890,22537552
257,2614580,5969463
258,26145100,38383220
259,26145610,2114982
260,26145200,63830349
261,2607950,89385332
262,2607970,274952031
263,2614370,59734608
264,2614350,71488977
265,26055210,19328390
266,26055290,3905964
267,26139610,5374066
268,26139770,2985402
269,26139130,37309447
270,26139390,20040533
271,26139980,8411351
272,26139250,2385626
273,26145680,6277176
274,26145570,4615516
275,26145270,95072141
276,26145290,65257023
277,26145150,6955913
278,26145250,58191146
279,26145260,25519532
280,26079120,90985618
281,2607980,175713304
282,2607990,6839779
283,2607920,90543315
284,2614330,28601962
285,26143120,169233849
286,2614320,88982906
287,26055160,17395248
288,26055300,1607123
289,2605520,21878914
290,26139810,3829265
291,26139880,33997965
292,26139150,2324536
293,26139640,2233580
294,26139290,4114698
295,26139340,2441186
296,26139950,3972219
297,261391060,796559
298,26139110,5627856
299,26139450,2466695
300,2613960,31522035
301,26145870,46306573
